個案研判日,縣市,確定病例數
2020/01/30,南投縣,1
2021/05/21,南投縣,1
2021/05/22,南投縣,1
2021/05/23,南投縣,8
2021/05/24,南投縣,1
2021/05/25,南投縣,2
2021/05/27,南投縣,1
2021/05/28,南投縣,1
2021/05/30,南投縣,4
2021/06/02,南投縣,1
2021/06/04,南投縣,2
2021/06/05,南投縣,3
2021/06/09,南投縣,3
2021/06/10,南投縣,2
2021/06/22,南投縣,2
2021/06/23,南投縣,1
2021/06/24,南投縣,2
2021/06/27,南投縣,1
2021/06/28,南投縣,1
2022/04/09,南投縣,2
2022/04/11,南投縣,1
2022/04/12,南投縣,1
2022/04/13,南投縣,2
2022/04/14,南投縣,2
2022/04/15,南投縣,4
2022/04/16,南投縣,3
2022/04/17,南投縣,7
2022/04/18,南投縣,2
2022/04/19,南投縣,15
2022/04/20,南投縣,10
2022/04/21,南投縣,10
2022/04/22,南投縣,22
2022/04/23,南投縣,11
2022/04/24,南投縣,16
2022/04/25,南投縣,13
2022/04/26,南投縣,32
2022/04/27,南投縣,43
2022/04/28,南投縣,57
2022/04/29,南投縣,47
2022/04/30,南投縣,71
2022/05/01,南投縣,79
2022/05/02,南投縣,61
2022/05/03,南投縣,125
2022/05/04,南投縣,150
2022/05/05,南投縣,154
2022/05/06,南投縣,208
2022/05/07,南投縣,249
2022/05/08,南投縣,200
2022/05/09,南投縣,189
2022/05/10,南投縣,417
2022/05/11,南投縣,369
2022/05/12,南投縣,315
2022/05/13,南投縣,414
2022/05/14,南投縣,471
2022/05/15,南投縣,476
2022/05/16,南投縣,616
2022/05/17,南投縣,702
2022/05/18,南投縣,952
2022/05/19,南投縣,745
2022/05/20,南投縣,946
2022/05/21,南投縣,894
2022/05/22,南投縣,861
2022/05/23,南投縣,1207
2022/05/24,南投縣,1239
2022/05/25,南投縣,998
2022/05/26,南投縣,1289
2022/05/27,南投縣,976
2022/05/28,南投縣,981
2022/05/29,南投縣,882
2022/05/30,南投縣,1385
2022/05/31,南投縣,1492
2022/06/01,南投縣,1343
2022/06/02,南投縣,1463
2022/06/03,南投縣,1322
2022/06/04,南投縣,1203
2022/06/05,南投縣,1153
2022/06/06,南投縣,1955
2022/06/07,南投縣,1726
2022/06/08,南投縣,1493
2022/06/09,南投縣,1540
2022/06/10,南投縣,1052
2022/06/11,南投縣,1836
2022/06/12,南投縣,1054
2022/06/13,南投縣,1714
2022/06/14,南投縣,1528
2022/06/15,南投縣,1489
2022/06/16,南投縣,1366
2022/06/17,南投縣,1273
2022/06/18,南投縣,1285
2022/06/19,南投縣,921
2022/06/20,南投縣,1542
2022/06/21,南投縣,1249
2022/06/22,南投縣,1200
2022/06/23,南投縣,1181
2022/06/24,南投縣,971
2022/06/25,南投縣,922
2022/06/26,南投縣,621
2022/06/27,南投縣,1073
2022/06/28,南投縣,910
2022/06/29,南投縣,920
2022/06/30,南投縣,784
2022/07/01,南投縣,729
2022/07/02,南投縣,698
2022/07/03,南投縣,487
2022/07/04,南投縣,800
2022/07/05,南投縣,704
2022/07/06,南投縣,633
2022/07/07,南投縣,683
2022/07/08,南投縣,564
2022/07/09,南投縣,562
2022/07/10,南投縣,377
2022/07/11,南投縣,616
2022/07/12,南投縣,537
2022/07/13,南投縣,495
2022/07/14,南投縣,447
2022/07/15,南投縣,449
2022/07/16,南投縣,422
2022/07/17,南投縣,338
2022/07/18,南投縣,506
2022/07/19,南投縣,429
2022/07/20,南投縣,444
2022/07/21,南投縣,437
2022/07/22,南投縣,418
2022/07/23,南投縣,350
2022/07/24,南投縣,327
2022/07/25,南投縣,469
2022/07/26,南投縣,420
2022/07/27,南投縣,444
2022/07/28,南投縣,363
2022/07/29,南投縣,319
2022/07/30,南投縣,365
2022/07/31,南投縣,322
2022/08/01,南投縣,410
2022/08/02,南投縣,409
2022/08/03,南投縣,397
2022/08/04,南投縣,376
2022/08/05,南投縣,327
2022/08/06,南投縣,387
2022/08/07,南投縣,283
2022/08/08,南投縣,396
2022/08/09,南投縣,393
2022/08/10,南投縣,396
2022/08/11,南投縣,356
2022/08/12,南投縣,350
2022/08/13,南投縣,306
2022/08/14,南投縣,275
2022/08/15,南投縣,391
2022/08/16,南投縣,425
2022/08/17,南投縣,367
2022/08/18,南投縣,327
2022/08/19,南投縣,410
2022/08/20,南投縣,380
2022/08/21,南投縣,268
2022/08/22,南投縣,451
2022/08/23,南投縣,401
2022/08/24,南投縣,388
2022/08/25,南投縣,391
2022/08/26,南投縣,392
2022/08/27,南投縣,352
2022/08/28,南投縣,313
2022/08/29,南投縣,480
2022/08/30,南投縣,454
2022/08/31,南投縣,567
2022/09/01,南投縣,477
2022/09/02,南投縣,451
2022/09/03,南投縣,500
2022/09/04,南投縣,324
2022/09/05,南投縣,570
2022/09/06,南投縣,599
2022/09/07,南投縣,445
2022/09/08,南投縣,517
2022/09/09,南投縣,665
2022/09/10,南投縣,537
2022/09/11,南投縣,589
2022/09/12,南投縣,901
2022/09/13,南投縣,860
2022/09/14,南投縣,814
2022/09/15,南投縣,754
2022/09/16,南投縣,761
2022/09/17,南投縣,775
2022/09/18,南投縣,557
2022/09/19,南投縣,988
2022/09/20,南投縣,816
2022/09/21,南投縣,801
2022/09/22,南投縣,726
2022/09/23,南投縣,766
2022/09/24,南投縣,696
2022/09/25,南投縣,644
2022/09/26,南投縣,937
2022/09/27,南投縣,930
2022/09/28,南投縣,835
2022/09/29,南投縣,788
2022/09/30,南投縣,710
2022/10/01,南投縣,628
2022/10/02,南投縣,549
2022/10/03,南投縣,820
2022/10/04,南投縣,754
2022/10/05,南投縣,725
2022/10/06,南投縣,783
2022/10/07,南投縣,699
2022/10/08,南投縣,648
2022/10/09,南投縣,521
2022/10/10,南投縣,699
2022/10/11,南投縣,813
2022/10/12,南投縣,730
2022/10/13,南投縣,677
2022/10/14,南投縣,707
2022/10/15,南投縣,641
2022/10/16,南投縣,443
2022/10/17,南投縣,810
2022/10/18,南投縣,733
2022/10/19,南投縣,713
2022/10/20,南投縣,724
2022/10/21,南投縣,703
2022/10/22,南投縣,689
2022/10/23,南投縣,485
2022/10/24,南投縣,770
2022/10/25,南投縣,711
2022/10/26,南投縣,660
2022/10/27,南投縣,701
2022/10/28,南投縣,613
2022/10/29,南投縣,657
2022/10/30,南投縣,457
2022/10/31,南投縣,712
2022/11/01,南投縣,601
2022/11/02,南投縣,490
2022/11/03,南投縣,470
2022/11/04,南投縣,484
2022/11/05,南投縣,425
2022/11/06,南投縣,342
2022/11/07,南投縣,466
2022/11/08,南投縣,426
2022/11/09,南投縣,360
2022/11/10,南投縣,371
2022/11/11,南投縣,341
2022/11/12,南投縣,346
2022/11/13,南投縣,266
2022/11/14,南投縣,356
2022/11/15,南投縣,355
2022/11/16,南投縣,342
2022/11/17,南投縣,289
2022/11/18,南投縣,288
2022/11/19,南投縣,264
2022/11/20,南投縣,180
2022/11/21,南投縣,302
2022/11/22,南投縣,223
2022/11/23,南投縣,277
2022/11/24,南投縣,214
2022/11/25,南投縣,221
2022/11/26,南投縣,213
2022/11/27,南投縣,201
2022/11/28,南投縣,361
2022/11/29,南投縣,276
2022/11/30,南投縣,246
2022/12/01,南投縣,250
2022/12/02,南投縣,258
2022/12/03,南投縣,182
2022/12/04,南投縣,163
2022/12/05,南投縣,304
2022/12/06,南投縣,274
2022/12/07,南投縣,228
2022/12/08,南投縣,228
2022/12/09,南投縣,265
2022/12/10,南投縣,205
2022/12/11,南投縣,197
2022/12/12,南投縣,281
2022/12/13,南投縣,249
2022/12/14,南投縣,231
2022/12/15,南投縣,209
2022/12/16,南投縣,212
2022/12/17,南投縣,190
2022/12/18,南投縣,165
2022/12/19,南投縣,236
2022/12/20,南投縣,242
2022/12/21,南投縣,282
2022/12/22,南投縣,251
2022/12/23,南投縣,296
2022/12/24,南投縣,238
2022/12/25,南投縣,216
2022/12/26,南投縣,377
2022/12/27,南投縣,320
2022/12/28,南投縣,417
2022/12/29,南投縣,362
2022/12/30,南投縣,376
2022/12/31,南投縣,345
2023/01/01,南投縣,228
2023/01/02,南投縣,373
2023/01/03,南投縣,457
2023/01/04,南投縣,423
2023/01/05,南投縣,346
